ST,OCC_CODE,OCC_TITLE,LOC_Q,A_MEAN
CA,49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",0.69,53050
CA,49-9031,"Home Appliance Repairers",0.78,42380
CA,49-9041,"Industrial Machinery Mechanics",0.63,58400
CA,49-9043,"Maintenance Workers, Machinery",0.76,44300
CA,49-9044,Millwrights,0.49,56260
CA,49-9051,"Electrical Power-Line Installers and Repairers",0.52,96070
CA,49-9052,"Telecommunications Line Installers and Repairers",1.01,59150
CA,49-9061,"Camera and Photographic Equipment Repairers",1.64,43670
CA,49-9062,"Medical Equipment Repairers",0.73,52840
CA,49-9063,"Musical Instrument Repairers and Tuners",0.62,41700
CA,49-9064,"Watch Repairers",0.96,37850
CA,49-9069,"Precision Instrument and Equipment Repairers, All Other",1.05,67310
CA,49-9071,"Maintenance and Repair Workers, General",0.8,43350
CA,49-9081,"Wind Turbine Service Technicians",1.89,50510
CA,49-9091,"Coin, Vending, and Amusement Machine Servicers and Repairers",0.66,34250
CA,49-9092,"Commercial Divers",0.39,0
CA,49-9093,"Fabric Menders, Except Garment",1.07,23920
CA,49-9094,"Locksmiths and Safe Repairers",1.24,50330
CA,49-9095,"Manufactured Building and Mobile Home Installers",0,24690
CA,49-9096,Riggers,0.4,55390
CA,49-9097,"Signal and Track Switch Repairers",0.64,67660
CA,49-9098,"Helpers--Installation, Maintenance, and Repair Workers",0.97,30960
CA,49-9099,"Installation, Maintenance, and Repair Workers, All Other",1.15,41490
CA,51-0000,"Production Occupations",0.84,35760
CA,51-1011,"First-Line Supervisors of Production and Operating Workers",0.8,60340
CA,51-2011,"Aircraft Structure, Surfaces, Rigging, and Systems Assemblers",0.61,49220
CA,51-2021,"Coil Winders, Tapers, and Finishers",0.74,28740
CA,51-2022,"Electrical and Electronic Equipment Assemblers",1.24,35050
CA,51-2023,"Electromechanical Equipment Assemblers",1.19,31920
CA,51-2031,"Engine and Other Machine Assemblers",0.44,45350
CA,51-2041,"Structural Metal Fabricators and Fitters",0.76,41230
CA,51-2091,"Fiberglass Laminators and Fabricators",0.54,32230
CA,51-2092,"Team Assemblers",0.65,29600
CA,51-2099,"Assemblers and Fabricators, All Other",0.86,30260
CA,51-3011,Bakers,1.5,27370
CA,51-3021,"Butchers and Meat Cutters",1.34,30180
CA,51-3022,"Meat, Poultry, and Fish Cutters and Trimmers",0.45,24730
CA,51-3023,"Slaughterers and Meat Packers",0.57,25390
CA,51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",1.13,29140
CA,51-3092,"Food Batchmakers",0.98,27410
CA,51-3093,"Food Cooking Machine Operators and Tenders",0.92,29070
CA,51-3099,"Food Processing Workers, All Other",0.78,24050
CA,51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",0.64,39430
CA,51-4012,"Computer Numerically Controlled Machine Tool Programmers, Metal and Plastic",0.88,61190
CA,51-4021,"Extruding and Drawing Machine Setters, Operators, and Tenders, Metal and Plastic",0.49,35000
CA,51-4022,"Forging Machine Setters, Operators, and Tenders, Metal and Plastic",0.79,37430
CA,51-4023,"Rolling Machine Setters, Operators, and Tenders, Metal and Plastic",0.61,33200
CA,51-4031,"Cutting, Punching, and Press Machine Setters, Operators, and Tenders, Metal and Plastic",0.6,32320
CA,51-4032,"Drilling and Boring Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1.14,32400
CA,51-4033,"Grinding, Lapping, Polishing, and Buffing Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.98,32390
CA,51-4034,"Lathe and Turning Machine Tool Setters, Operators, and Tenders, Metal and Plastic",1.11,37340
CA,51-4035,"Milling and Planing Machine Setters, Operators, and Tenders, Metal and Plastic",1.3,38220
CA,51-4041,Machinists,0.75,43240
CA,51-4051,"Metal-Refining Furnace Operators and Tenders",0.17,39850
CA,51-4052,"Pourers and Casters, Metal",0.45,28730
CA,51-4061,"Model Makers, Metal and Plastic",0.63,49620
CA,51-4062,"Patternmakers, Metal and Plastic",0.92,34440
CA,51-4071,"Foundry Mold and Coremakers",0.48,33010
CA,51-4072,"Molding, Coremaking, and Casting Machine Setters, Operators, and Tenders, Metal and Plastic",0.55,29980
CA,51-4081,"Multiple Machine Tool Setters, Operators, and Tenders, Metal and Plastic",0.46,37640
CA,51-4111,"Tool and Die Makers",0.4,53270
CA,51-4121,"Welders, Cutters, Solderers, and Brazers",0.62,42970
CA,51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",0.51,38270
CA,51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",0.59,37600
CA,51-4192,"Layout Workers, Metal and Plastic",0.72,42360
CA,51-4193,"Plating and Coating Machine Setters, Operators, and Tenders, Metal and Plastic",1.05,32630
CA,51-4194,"Tool Grinders, Filers, and Sharpeners",0.99,35020
CA,51-4199,"Metal Workers and Plastic Workers, All Other",1.29,33530
CA,51-5111,"Prepress Technicians and Workers",0.94,43550
CA,51-5112,"Printing Press Operators",0.83,36550
CA,51-5113,"Print Binding and Finishing Workers",0.8,32610
CA,51-6011,"Laundry and Dry-Cleaning Workers",0.81,25360
CA,51-6021,"Pressers, Textile, Garment, and Related Materials",1.2,23150
CA,51-6031,"Sewing Machine Operators",1.92,23450
CA,51-6041,"Shoe and Leather Workers and Repairers",0.85,26050
CA,51-6042,"Shoe Machine Operators and Tenders",0.28,22140
CA,51-6051,"Sewers, Hand",1.73,23610
CA,51-6052,"Tailors, Dressmakers, and Custom Sewers",0.95,36790
CA,51-6061,"Textile Bleaching and Dyeing Machine Operators and Tenders",1.88,25950
CA,51-6062,"Textile Cutting Machine Setters, Operators, and Tenders",1.66,25100
CA,51-6063,"Textile Knitting and Weaving Machine Setters, Operators, and Tenders",0.55,23830
CA,51-6064,"Textile Winding, Twisting, and Drawing Out Machine Setters, Operators, and Tenders",0.1,26570
CA,51-6091,"Extruding and Forming Machine Setters, Operators, and Tenders, Synthetic and Glass Fibers",0.61,32810
CA,51-6092,"Fabric and Apparel Patternmakers",2.91,54530
CA,51-6093,Upholsterers,1.06,32990
CA,51-6099,"Textile, Apparel, and Furnishings Workers, All Other",0.87,28740
CA,51-7011,"Cabinetmakers and Bench Carpenters",0.92,35350
CA,51-7021,"Furniture Finishers",0.67,29660
CA,51-7031,"Model Makers, Wood",0.4,42780
CA,51-7032,"Patternmakers, Wood",0.42,37840
CA,51-7041,"Sawing Machine Setters, Operators, and Tenders, Wood",0.66,28730
CA,51-7042,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing",0.44,29100
CA,51-7099,"Woodworkers, All Other",0.73,31350
CA,51-8011,"Nuclear Power Reactor Operators",0,96440
CA,51-8012,"Power Distributors and Dispatchers",0.97,87040
CA,51-8013,"Power Plant Operators",0.83,84960
CA,51-8021,"Stationary Engineers and Boiler Operators",1.02,75220
CA,51-8031,"Water and Wastewater Treatment Plant and System Operators",0.88,65680
CA,51-8091,"Chemical Plant and System Operators",0.36,52980
CA,51-8092,"Gas Plant Operators",0.9,81100
CA,51-8093,"Petroleum Pump System Operators, Refinery Operators, and Gaugers",0.92,76630
CA,51-8099,"Plant and System Operators, All Other",0.77,68420
CA,51-9011,"Chemical Equipment Operators and Tenders",0.37,42480
CA,51-9012,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders",1.48,39720
CA,51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",0.69,33170
CA,51-9022,"Grinding and Polishing Workers, Hand",1.79,28620
CA,51-9023,"Mixing and Blending Machine Setters, Operators, and Tenders",0.87,32780
CA,51-9031,"Cutters and Trimmers, Hand",1.86,26090
CA,51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",0.78,31190
CA,51-9041,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",0.57,30060
CA,51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",0.36,35150
CA,51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",0.93,40930
CA,51-9071,"Jewelers and Precious Stone and Metal Workers",1.01,38450
CA,51-9081,"Dental Laboratory Technicians",1.07,39390
CA,51-9082,"Medical Appliance Technicians",1,48580
CA,51-9083,"Ophthalmic Laboratory Technicians",0.71,33110
CA,51-9111,"Packaging and Filling Machine Operators and Tenders",1.15,29060
CA,51-9121,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",0.68,34280
CA,51-9122,"Painters, Transportation Equipment",1.12,43540
CA,51-9123,"Painting, Coating, and Decorating Workers",0.77,33290
CA,51-9141,"Semiconductor Processors",2.15,36920
CA,51-9151,"Photographic Process Workers and Processing Machine Operators",1.17,32940
CA,51-9191,"Adhesive Bonding Machine Operators and Tenders",0.87,33110
CA,51-9192,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders",1.64,29930
CA,51-9193,"Cooling and Freezing Equipment Operators and Tenders",0.55,30840
CA,51-9194,"Etchers and Engravers",0.76,35450
CA,51-9195,"Molders, Shapers, and Casters, Except Metal and Plastic",1.04,30950
CA,51-9196,"Paper Goods Machine Setters, Operators, and Tenders",0.64,35340
CA,51-9197,"Tire Builders",0,32530
CA,51-9198,"Helpers--Production Workers",1.02,25390
CA,51-9199,"Production Workers, All Other",0.81,29110
CA,53-0000,"Transportation and Material Moving Occupations",0.95,35670
CA,53-1011,"Aircraft Cargo Handling Supervisors",1.12,49920
CA,53-1021,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand",1.12,50520
CA,53-1031,"First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators",0.87,61580
CA,53-2011,"Airline Pilots, Copilots, and Flight Engineers",0.81,145510
CA,53-2012,"Commercial Pilots",0.91,100230
CA,53-2021,"Air Traffic Controllers",0.9,125590
CA,53-2022,"Airfield Operations Specialists",0.71,66930
CA,53-2031,"Flight Attendants",0.97,47490
CA,53-3011,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians",1.11,25860
CA,53-3021,"Bus Drivers, Transit and Intercity",1.2,41530
CA,53-3022,"Bus Drivers, School or Special Client",0.5,34780
CA,53-3031,"Driver/Sales Workers",0.88,31360
CA,53-3032,"Heavy and Tractor-Trailer Truck Drivers",0.68,44030
CA,53-3033,"Light Truck or Delivery Services Drivers",0.96,37410
CA,53-3041,"Taxi Drivers and Chauffeurs",0.68,28800
CA,53-3099,"Motor Vehicle Operators, All Other",1.07,47420
CA,53-4011,"Locomotive Engineers",0,53820
CA,53-4013,"Rail Yard Engineers, Dinkey Operators, and Hostlers",1.24,39140
CA,53-4021,"Railroad Brake, Signal, and Switch Operators",0,55130
CA,53-4031,"Railroad Conductors and Yardmasters",0.33,54760
CA,53-4041,"Subway and Streetcar Operators",0,57230
CA,53-4099,"Rail Transportation Workers, All Other",1.28,74440
CA,53-5011,"Sailors and Marine Oilers",0.58,35170
CA,53-5021,"Captains, Mates, and Pilots of Water Vessels",0.44,65920
CA,53-5022,"Motorboat Operators",0.31,44340
CA,53-5031,"Ship Engineers",0.68,65620
CA,53-6011,"Bridge and Lock Tenders",0.25,45750
CA,53-6021,"Parking Lot Attendants",1.77,23770
CA,53-6031,"Automotive and Watercraft Service Attendants",0.61,26990
CA,53-6041,"Traffic Technicians",0.29,65270
CA,53-6051,"Transportation Inspectors",0.82,70360
CA,53-6061,"Transportation Attendants, Except Flight Attendants",2.17,40770
CA,53-6099,"Transportation Workers, All Other",1.32,38500
CA,53-7011,"Conveyor Operators and Tenders",0.61,37340
CA,53-7021,"Crane and Tower Operators",0.69,68910
CA,53-7031,"Dredge Operators",0,65040
CA,53-7032,"Excavating and Loading Machine and Dragline Operators",0.32,59910
CA,53-7051,"Industrial Truck and Tractor Operators",0.99,38500
CA,53-7061,"Cleaners of Vehicles and Equipment",1.29,24280
CA,53-7062,"Laborers and Freight, Stock, and Material Movers, Hand",1.07,28660
CA,53-7063,"Machine Feeders and Offbearers",0.76,30050
CA,53-7064,"Packers and Packagers, Hand",1.28,23810
CA,53-7071,"Gas Compressor and Gas Pumping Station Operators",0.13,63130
CA,53-7072,"Pump Operators, Except Wellhead Pumpers",0.88,50520
CA,53-7073,"Wellhead Pumpers",0.25,54610
CA,53-7081,"Refuse and Recyclable Material Collectors",1.08,45470
CA,53-7121,"Tank Car, Truck, and Ship Loaders",0.54,53620
CA,53-7199,"Material Moving Workers, All Other",2.67,36370
CO,00-0000,"All Occupations",1,51180
CO,11-0000,"Management Occupations",0.88,122760
CO,11-1011,"Chief Executives",0.24,199220
CO,11-1021,"General and Operations Managers",1.06,126830
CO,11-1031,Legislators,0.69,72790
CO,11-2011,"Advertising and Promotions Managers",1.05,125190
CO,11-2021,"Marketing Managers",0.8,146250
CO,11-2022,"Sales Managers",0.71,139090
CO,11-2031,"Public Relations and Fundraising Managers",0.82,131230
CO,11-3011,"Administrative Services Managers",0.5,100490
CO,11-3021,"Computer and Information Systems Managers",1.05,158070
CO,11-3031,"Financial Managers",0.58,152970
CO,11-3051,"Industrial Production Managers",0.42,110040
CO,11-3061,"Purchasing Managers",0.68,127950
CO,11-3071,"Transportation, Storage, and Distribution Managers",0.7,110760
CO,11-3111,"Compensation and Benefits Managers",0.68,138520
CO,11-3121,"Human Resources Managers",0.7,137350
CO,11-3131,"Training and Development Managers",0.6,110510
CO,11-9013,"Farmers, Ranchers, and Other Agricultural Managers",0.57,44180
CO,11-9021,"Construction Managers",1.5,92670
CO,11-9031,"Education Administrators, Preschool and Childcare Center/Program",0.76,48330
CO,11-9032,"Education Administrators, Elementary and Secondary School",1.06,86040
CO,11-9033,"Education Administrators, Postsecondary",0.9,88910
CO,11-9039,"Education Administrators, All Other",1.01,86720
CO,11-9041,"Architectural and Engineering Managers",1.14,160570
CO,11-9051,"Food Service Managers",0.57,62360
CO,11-9061,"Funeral Service Managers",0.66,63710
CO,11-9071,"Gaming Managers",0.67,60530
CO,11-9081,"Lodging Managers",0.9,70310
CO,11-9111,"Medical and Health Services Managers",0.72,113930
CO,11-9121,"Natural Sciences Managers",1.45,137960
CO,11-9131,"Postmasters and Mail Superintendents",0.86,68080
CO,11-9141,"Property, Real Estate, and Community Association Managers",0.71,85600
CO,11-9151,"Social and Community Service Managers",0.68,70940
CO,11-9161,"Emergency Management Directors",0.78,78230
CO,11-9199,"Managers, All Other",1.1,126010
CO,13-0000,"Business and Financial Operations Occupations",1.33,75640
CO,13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",0.38,0
CO,13-1021,"Buyers and Purchasing Agents, Farm Products",0.45,62800
CO,13-1022,"Wholesale and Retail Buyers, Except Farm Products",0.85,55740
CO,13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",1.19,68710
CO,13-1031,"Claims Adjusters, Examiners, and Investigators",0.71,67780
CO,13-1032,"Insurance Appraisers, Auto Damage",0.53,60190
CO,13-1041,"Compliance Officers",1.05,70200
CO,13-1051,"Cost Estimators",1.25,65980
CO,13-1071,"Human Resources Specialists",1.18,66030
CO,13-1075,"Labor Relations Specialists",0.32,0
CO,13-1081,Logisticians,1.26,78750
CO,13-1111,"Management Analysts",0.77,92070
CO,13-1121,"Meeting, Convention, and Event Planners",1.66,43340
CO,13-1131,Fundraisers,1.21,58430
CO,13-1141,"Compensation, Benefits, and Job Analysis Specialists",0.8,68980
CO,13-1151,"Training and Development Specialists",1.18,68330
CO,13-1161,"Market Research Analysts and Marketing Specialists",1.42,77740
CO,13-1199,"Business Operations Specialists, All Other",2.52,78440
CO,13-2011,"Accountants and Auditors",1.55,74700
CO,13-2021,"Appraisers and Assessors of Real Estate",1.7,64500
CO,13-2031,"Budget Analysts",1.08,76840
CO,13-2041,"Credit Analysts",1.03,80970
CO,13-2051,"Financial Analysts",0.83,106240
CO,13-2052,"Personal Financial Advisors",1.05,113070
CO,13-2053,"Insurance Underwriters",0.68,73930
CO,13-2061,"Financial Examiners",1.05,78290
CO,13-2071,"Credit Counselors",0.42,65150
CO,13-2072,"Loan Officers",1,71450
CO,13-2081,"Tax Examiners and Collectors, and Revenue Agents",0.67,61890
CO,13-2082,"Tax Preparers",1.02,57190
CO,13-2099,"Financial Specialists, All Other",1.51,69480
CO,15-0000,"Computer and Mathematical Occupations",1.37,90690
CO,15-1111,"Computer and Information Research Scientists",0.48,94130
CO,15-1121,"Computer Systems Analysts",0.85,94670
CO,15-1122,"Information Security Analysts",1.08,99730
CO,15-1131,"Computer Programmers",0.61,87770
CO,15-1132,"Software Developers, Applications",1.78,104450
CO,15-1133,"Software Developers, Systems Software",1.86,110000
CO,15-1134,"Web Developers",1.19,64850
CO,15-1141,"Database Administrators",1.13,93470
CO,15-1142,"Network and Computer Systems Administrators",1.64,81990
CO,15-1143,"Computer Network Architects",1.56,104790
CO,15-1151,"Computer User Support Specialists",1.28,56480
CO,15-1152,"Computer Network Support Specialists",1.2,69490
CO,15-1199,"Computer Occupations, All Other",2.21,91620
CO,15-2011,Actuaries,1.05,155220
CO,15-2021,Mathematicians,0.75,0
CO,15-2031,"Operations Research Analysts",0.55,88880
CO,15-2041,Statisticians,0.8,82540
CO,15-2099,"Mathematical Science Occupations, All Other",1.36,108540
CO,17-0000,"Architecture and Engineering Occupations",1.39,88680
CO,17-1011,"Architects, Except Landscape and Naval",1.65,71740
CO,17-1012,"Landscape Architects",1.49,76020
CO,17-1021,"Cartographers and Photogrammetrists",3.27,67700
CO,17-1022,Surveyors,1.58,54740
CO,17-2011,"Aerospace Engineers",1.81,132670
CO,17-2031,"Biomedical Engineers",1.38,98230
CO,17-2041,"Chemical Engineers",1.05,91250
CO,17-2051,"Civil Engineers",1.66,87510
CO,17-2061,"Computer Hardware Engineers",2.85,107000
CO,17-2071,"Electrical Engineers",1.2,97370
CO,17-2072,"Electronics Engineers, Except Computer",2.41,102670
CO,17-2081,"Environmental Engineers",2.37,93860
CO,17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",1,96220
CO,17-2112,"Industrial Engineers",0.72,94330
CO,17-2131,"Materials Engineers",1.47,109780
CO,17-2141,"Mechanical Engineers",1.26,89860
CO,17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",4.15,128790
CO,17-2171,"Petroleum Engineers",3.33,156500
CO,17-2199,"Engineers, All Other",0.85,103750
CO,17-3011,"Architectural and Civil Drafters",1.16,56330
CO,17-3012,"Electrical and Electronics Drafters",1.39,71170
CO,17-3013,"Mechanical Drafters",0.83,55580
CO,17-3019,"Drafters, All Other",1,54880
CO,17-3021,"Aerospace Engineering and Operations Technicians",1.69,74990
CO,17-3022,"Civil Engineering Technicians",0.89,48490
CO,17-3023,"Electrical and Electronics Engineering Technicians",0.82,64580
CO,17-3024,"Electro-Mechanical Technicians",0.34,62040
CO,17-3025,"Environmental Engineering Technicians",1.85,56460
CO,17-3026,"Industrial Engineering Technicians",0.55,58990
CO,17-3027,"Mechanical Engineering Technicians",0.58,65020
CO,17-3029,"Engineering Technicians, Except Drafters, All Other",1.3,69210
CO,17-3031,"Surveying and Mapping Technicians",0,47380
CO,19-0000,"Life, Physical, and Social Science Occupations",1.45,73760
CO,19-1012,"Food Scientists and Technologists",0.7,76160
CO,19-1013,"Soil and Plant Scientists",1.37,56460
CO,19-1021,"Biochemists and Biophysicists",0.87,77000
CO,19-1022,Microbiologists,1.17,66720
CO,19-1023,"Zoologists and Wildlife Biologists",1.97,68200
CO,19-1029,"Biological Scientists, All Other",1.08,70010
CO,19-1031,"Conservation Scientists",2.96,69670
CO,19-1032,Foresters,1.22,58610
CO,19-1041,Epidemiologists,3.03,67890
CO,19-1042,"Medical Scientists, Except Epidemiologists",0.64,83090
CO,19-1099,"Life Scientists, All Other",0.43,52600
CO,19-2011,Astronomers,0,109400
CO,19-2012,Physicists,2.11,94010
CO,19-2021,"Atmospheric and Space Scientists",9.2,95990
CO,19-2031,Chemists,1.28,80040
CO,19-2032,"Materials Scientists",1.08,102930
CO,19-2041,"Environmental Scientists and Specialists, Including Health",1.92,81410
CO,19-2042,"Geoscientists, Except Hydrologists and Geographers",4.36,113140
CO,19-2043,Hydrologists,3.32,101630
CO,19-2099,"Physical Scientists, All Other",1.19,94100
CO,19-3011,Economists,0.69,92200
CO,19-3022,"Survey Researchers",0.64,67850
CO,19-3031,"Clinical, Counseling, and School Psychologists",1.38,75860
CO,19-3039,"Psychologists, All Other",1.15,81660
CO,19-3051,"Urban and Regional Planners",1.31,78470
CO,19-3091,"Anthropologists and Archeologists",1.77,62490
CO,19-3092,Geographers,2.47,78700
CO,19-3093,Historians,1.59,72630
CO,19-3099,"Social Scientists and Related Workers, All Other",1.18,75180
CO,19-4011,"Agricultural and Food Science Technicians",0.61,38060
CO,19-4021,"Biological Technicians",2.11,46080
CO,19-4031,"Chemical Technicians",0.83,45330
CO,19-4041,"Geological and Petroleum Technicians",2.19,67300
CO,19-4061,"Social Science Research Assistants",0.5,41050
CO,19-4091,"Environmental Science and Protection Technicians, Including Health",1.44,45730
CO,19-4092,"Forensic Science Technicians",1.36,61110
CO,19-4093,"Forest and Conservation Technicians",2.19,36920
CO,19-4099,"Life, Physical, and Social Science Technicians, All Other",0.67,51980
CO,21-0000,"Community and Social Service Occupations",0.95,47590
CO,21-1011,"Substance Abuse and Behavioral Disorder Counselors",0.74,45080
CO,21-1012,"Educational, Guidance, School, and Vocational Counselors",0.97,48940
CO,21-1013,"Marriage and Family Therapists",0.82,52930
CO,21-1014,"Mental Health Counselors",2.19,47920
CO,21-1015,"Rehabilitation Counselors",0.72,43370
CO,21-1019,"Counselors, All Other",0.77,53650
CO,21-1021,"Child, Family, and School Social Workers",1.2,47960
CO,21-1022,"Healthcare Social Workers",0.73,54660
CO,21-1023,"Mental Health and Substance Abuse Social Workers",0.87,41850
CO,21-1029,"Social Workers, All Other",1.17,50610
CO,21-1091,"Health Educators",0.71,56340
CO,21-1092,"Probation Officers and Correctional Treatment Specialists",1.59,56540
CO,21-1093,"Social and Human Service Assistants",0.35,33540
CO,21-1094,"Community Health Workers",0.65,43600
CO,21-1099,"Community and Social Service Specialists, All Other",1.47,42400
CO,21-2011,Clergy,0.54,52720
CO,21-2021,"Directors, Religious Activities and Education",0.39,58950
CO,21-2099,"Religious Workers, All Other",2.99,46480
CO,23-0000,"Legal Occupations",1.14,101000
CO,23-1011,Lawyers,1.07,135880
CO,23-1012,"Judicial Law Clerks",0.83,47260
CO,23-1021,"Administrative Law Judges, Adjudicators, and Hearing Officers",0.76,106710
CO,23-1022,"Arbitrators, Mediators, and Conciliators",0.47,56310
CO,23-1023,"Judges, Magistrate Judges, and Magistrates",1.16,133410
CO,23-2011,"Paralegals and Legal Assistants",1.25,53480
CO,23-2091,"Court Reporters",0.82,78670
CO,23-2093,"Title Examiners, Abstractors, and Searchers",1.45,50950
CO,23-2099,"Legal Support Workers, All Other",1.55,60760
CO,25-0000,"Education, Training, and Library Occupations",0.94,51520
CO,25-1011,"Business Teachers, Postsecondary",1.03,87630
CO,25-1021,"Computer Science Teachers, Postsecondary",0.76,74080
CO,25-1022,"Mathematical Science Teachers, Postsecondary",1.12,55270
CO,25-1031,"Architecture Teachers, Postsecondary",1.14,0
CO,25-1032,"Engineering Teachers, Postsecondary",1.79,87470
CO,25-1041,"Agricultural Sciences Teachers, Postsecondary",0.49,89860
CO,25-1042,"Biological Science Teachers, Postsecondary",1,67530
CO,25-1051,"Atmospheric, Earth, Marine, and Space Sciences Teachers, Postsecondary",1.77,79890
CO,25-1052,"Chemistry Teachers, Postsecondary",1.07,71550
CO,25-1053,"Environmental Science Teachers, Postsecondary",0.61,65740
CO,25-1054,"Physics Teachers, Postsecondary",1.08,83660
CO,25-1061,"Anthropology and Archeology Teachers, Postsecondary",1.54,64600
CO,25-1062,"Area, Ethnic, and Cultural Studies Teachers, Postsecondary",0.98,56920
CO,25-1063,"Economics Teachers, Postsecondary",0.98,84570
CO,25-1064,"Geography Teachers, Postsecondary",1.88,65300
CO,25-1065,"Political Science Teachers, Postsecondary",0.97,75770
CO,25-1066,"Psychology Teachers, Postsecondary",1.01,63420
CO,25-1067,"Sociology Teachers, Postsecondary",0.9,60530
CO,25-1069,"Social Sciences Teachers, Postsecondary, All Other",0.3,73270
CO,25-1071,"Health Specialties Teachers, Postsecondary",1.6,133470
CO,25-1072,"Nursing Instructors and Teachers, Postsecondary",1.22,67400
CO,25-1081,"Education Teachers, Postsecondary",1.13,63080
CO,25-1082,"Library Science Teachers, Postsecondary",1.25,65900
CO,25-1111,"Criminal Justice and Law Enforcement Teachers, Postsecondary",1.34,55410
CO,25-1112,"Law Teachers, Postsecondary",0.95,102960
CO,25-1113,"Social Work Teachers, Postsecondary",1.54,60040
CO,25-1121,"Art, Drama, and Music Teachers, Postsecondary",1.29,55380
CO,25-1122,"Communications Teachers, Postsecondary",1.16,54750
CO,25-1123,"English Language and Literature Teachers, Postsecondary",1.04,51080
CO,25-1124,"Foreign Language and Literature Teachers, Postsecondary",0.89,57010
CO,25-1125,"History Teachers, Postsecondary",1.07,61900
CO,25-1126,"Philosophy and Religion Teachers, Postsecondary",0.97,51590
CO,25-1191,"Graduate Teaching Assistants",1.04,38440
CO,25-1193,"Recreation and Fitness Studies Teachers, Postsecondary",0.61,47360
CO,25-1194,"Vocational Education Teachers, Postsecondary",1.11,60770
CO,25-1199,"Postsecondary Teachers, All Other",0.18,56190
CO,25-2011,"Preschool Teachers, Except Special Education",1.13,30000
CO,25-2012,"Kindergarten Teachers, Except Special Education",1.28,48800
CO,25-2021,"Elementary School Teachers, Except Special Education",1.06,50330
CO,25-2022,"Middle School Teachers, Except Special and Career/Technical Education",1.14,51120
CO,25-2023,"Career/Technical Education Teachers, Middle School",0.95,54020
CO,25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",0.96,52650
CO,25-2032,"Career/Technical Education Teachers, Secondary School",0.63,54800
CO,25-2051,"Special Education Teachers, Preschool",2,53200
CO,25-2052,"Special Education Teachers, Kindergarten and Elementary School",0.9,52150
CO,25-2053,"Special Education Teachers, Middle School",1.02,51250
CO,25-2054,"Special Education Teachers, Secondary School",0.94,54100
CO,25-2059,"Special Education Teachers, All Other",0.08,51040
CO,25-3011,"Adult Basic and Secondary Education and Literacy Teachers and Instructors",0.77,41080
CO,25-3021,"Self-Enrichment Education Teachers",1.22,44240
CO,25-3097,"Teachers and Instructors, All Other, Except Substitute Teachers",0.59,47400
CO,25-4011,Archivists,0.68,55500
CO,25-4012,Curators,1.56,50140
CO,25-4013,"Museum Technicians and Conservators",1.67,38330
CO,25-4021,Librarians,0.95,65640
CO,25-4031,"Library Technicians",1.43,33960
CO,25-9021,"Farm and Home Management Advisors",0,55020
CO,25-9031,"Instructional Coordinators",1.26,68930
CO,25-9041,"Teacher Assistants",0.85,27880
CO,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",1.18,50000
CO,27-1011,"Art Directors",1.19,86050
CO,27-1012,"Craft Artists",0.79,30040
CO,27-1013,"Fine Artists, Including Painters, Sculptors, and Illustrators",0.63,35680
CO,27-1014,"Multimedia Artists and Animators",0.62,60760
CO,27-1019,"Artists and Related Workers, All Other",1.46,44300
CO,27-1021,"Commercial and Industrial Designers",0.77,72570
CO,27-1022,"Fashion Designers",0.64,59770
CO,27-1023,"Floral Designers",1.28,25990
CO,27-1024,"Graphic Designers",1.12,52750
CO,27-1025,"Interior Designers",1.84,50650
CO,27-1026,"Merchandise Displayers and Window Trimmers",0.92,34940
CO,27-1027,"Set and Exhibit Designers",0.41,43240
CO,27-1029,"Designers, All Other",1.84,60410
CO,27-2011,Actors,0.23,0
CO,27-2012,"Producers and Directors",0.73,61030
CO,27-2021,"Athletes and Sports Competitors",1.65,0
CO,27-2022,"Coaches and Scouts",1.86,34400
CO,27-2023,"Umpires, Referees, and Other Sports Officials",4.14,28200
CO,27-2031,Dancers,1.07,0
